District,Center,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,soiltemp01,soiltemp04,soiltemp10,soiltemp20,soilmoisture01,soilmoisture04,soilmoisture10,soilmoisturevol01,soilmoisturevol04,soilmoisturevol10,soilmoisturevol20,
Gatsibo,Gatsibo,26.3,16,20.9,26.3,16,20.9,17.8,83.7,2.125,100,4.17,rain,0,0,25.2,11.3,142.3,1018.5,69,8.6,221.8,19.2,8,20.9,20.7,20.2,20.2,35.5,116.6,161.2,400,0.355,0.389,0.403,0.4
RWAMAGANA,ERwaNten,26,16.4,20.8,26,16.4,20.8,15.9,75.6,3.1,100,100,rain,0,0,32.8,9.7,7.9,1014,56.5,,251.6,21.8,9,19,18.8,18.6,18.6,43.1,130.4,174.8,380,0.431,0.435,0.437,0.38
NYANZA,NyagCyab,31,17,23.5,30.1,17,23.3,14.3,59,0,0,0,,0,0,31.3,18.4,4.5,1019.2,44.8,9.8,281,24.4,10,20,19.8,19.5,19.5,39.8,126.6,173.8,413,0.398,0.422,0.435,0.413
RWAMAGANA,ERwaNten,27,17,21.3,28.2,17,21.3,18.1,83.6,3,100,4.17,rain,0,0,22,12,140.7,1018.4,66.8,8.5,218.7,19.1,8,23.2,23,22.6,22.6,29.9,105.4,141,329,0.299,0.351,0.353,0.329
NYAGATARE,NYAGATARE,28,18,21.8,28.3,18,21.8,16.9,76.2,0,0,0,,0,0,30.6,13.6,124.3,1019.1,66.3,9.2,263.1,22.8,9,21.4,20.9,20.3,20.3,36,112.5,155.6,404,0.36,0.375,0.389,0.404
Gatsibo,Gatsibo,29,19,23.1,29.1,19,23.1,16.7,71.1,0.058,100,4.17,rain,0,0,30.2,13,45.6,1018,54.4,8.3,243.3,21,9,21.5,21,20.2,20.2,35.3,116.3,161.2,400,0.353,0.388,0.403,0.4
NYANZA,NyagCyab,28,17,22.9,28.6,17,23,15.5,64.4,0,0,0,,0,0,24.5,14.8,314.3,1019.5,44,9.8,265.8,23,10,19.8,19.7,19.5,19.5,39.1,125.2,173.2,413,0.391,0.417,0.433,0.413
NYAGATARE,NYAGATARE,26.8,16.5,21.3,27.1,16.5,21.4,16.2,75.2,1.4,100,33.33,rain,0,0,33.1,12.2,49.1,1014.1,75.5,,265.1,23.1,10,18.5,18.6,18.6,18.6,42.7,129.9,174.6,380.9,0.427,0.433,0.437,0.381
Moyenne Globale,Moyenne Globale,26,16.1,20.3,26,16.1,20.3,17.7,86.4,0,0,0,,0,0,29.9,22.3,101.5,1019,71.1,7.8,177.3,15.3,7,22.6,22.5,21.7,21.7,33.7,106.7,147.4,353,0.337,0.356,0.368,0.353
Moyenne Globale,Moyenne Globale,25,16.7,20.6,25,16.7,20.6,18.3,87.7,0.1,100,4.17,rain,0,0,32.4,13,119.9,1019.5,70.1,9.3,256.9,22.2,9,21.8,22,21.7,21.7,36.1,107.3,147.7,353,0.361,0.358,0.369,0.353
RUSIZI,Bugarama,27.1,12.3,17.8,28.6,12.3,17.9,14.7,83.7,3.4,100,83.33,rain,0,0,29.5,46.4,289.1,1013,70.2,7.8,254.4,21.8,9,21.9,21.6,21.4,21.4,29.6,96.1,134.1,317,0.296,0.32,0.335,0.317
RUSIZI,Bugarama,30.1,14,21.3,32.6,14,22.2,17.7,82,3.1,100,33.33,rain,0,0,30.6,44.6,193.8,1012.6,73.6,8.4,222.8,19.2,8,21.7,21.6,21.4,21.4,29.8,96.4,134.2,317,0.298,0.321,0.335,0.317
RUSIZI,Bugarama,21.5,13.3,16.9,21.5,13.3,16.9,14.1,85.3,2.6,100,87.5,rain,0,0,26.6,10.8,309.6,1014.4,83.7,,268.3,23.2,10,22.3,21.8,21.4,21.4,29.7,95.7,132.8,318,0.297,0.319,0.332,0.318
RUSIZI,Bugarama,21.5,12.5,16.6,21.5,12.5,16.6,14,86.2,4.5,100,100,rain,0,0,28.8,10.1,306.2,1015.1,67.6,,266.9,23.1,9,22.3,22,21.4,21.4,28.8,94.1,131,318,0.288,0.314,0.328,0.318
RUSIZI,Bugarama,25.1,11.7,15.6,25.1,11.7,15.6,14.1,91.1,8.4,100,87.5,rain,0,0,35.6,22,251.8,1014.1,95.3,8,143,12.6,5,21.9,21.8,21.4,21.4,29.3,94.1,131.2,318,0.293,0.314,0.328,0.318
NYAGATARE,Rwempashya,25.8,14.2,19.9,25.8,14.2,19.9,16,80.1,3.2,100,50,rain,0,0,36.7,16.2,352.9,1012.5,44.3,,275.1,23.6,9,21.2,20.6,20.3,20.3,38.8,119.6,159.5,405,0.388,0.399,0.399,0.405
NYAGATARE,Rwempashya,27,15.1,20.8,27.5,15.1,20.9,16,76.4,0,0,0,,0,0,34.6,16.6,23.6,1012.5,64.2,,292.6,25.3,10,21.2,20.8,20.3,20.3,37.6,118.1,158.4,405,0.376,0.394,0.396,0.405
NYAGATARE,Rwempashya,28.1,14.1,20.6,27.7,14.1,20.6,13.9,69.4,0,0,0,,0,0,35.3,18.4,355.4,1013,62.2,,303.6,26.2,10,21.1,20.8,20.3,20.3,36.4,116.6,157.8,405,0.364,0.389,0.394,0.405
NYAGATARE,Rwempashya,27.8,13.7,20.7,27.7,13.7,20.7,15.4,74.7,0.2,100,8.33,rain,0,0,31.3,15.8,335.5,1013.6,67.6,,293.8,25.5,10,20.9,20.7,20.3,20.3,35.6,115.7,157.2,404.4,0.356,0.386,0.393,0.404
RUSIZI,Rusizi,21.5,12.3,16.6,21.5,12.3,16.6,13.6,84.3,4.1,100,100,rain,0,0,31,9.4,324.5,1013.5,63.5,,254.4,21.8,9,21.3,21.1,21.2,21.2,34.7,101.6,119.4,270,0.347,0.339,0.299,0.27
RUSIZI,Rusizi,21.9,14,17.2,21.9,14,17.2,13.9,82.6,3.4,100,45.83,rain,0,0,34.6,7.9,18.2,1013.7,84.5,,222.8,19.2,8,21.1,21,21.2,21.2,34.1,101.4,119.8,270,0.341,0.338,0.3,0.27
RUSIZI,Rusizi,21.5,13.3,16.9,21.5,13.3,16.9,14.1,85.3,2.6,100,87.5,rain,0,0,29.5,10.8,309.6,1014.9,83.7,,268.3,23.2,10,21.7,21.2,21.2,21.2,33.4,100.9,119.8,271,0.334,0.336,0.299,0.271
RUSIZI,Rusizi,21.5,12.5,16.6,21.5,12.5,16.6,14,86.2,4.5,100,100,rain,0,0,22,10.1,306.2,1015.8,67.6,,266.9,23.1,9,21.5,21.3,21.2,21.2,32.4,99.8,118.8,271,0.324,0.333,0.297,0.271
GASABO,Plateau du Bumbogo Buliza,29.1,15.9,23.3,28.8,15.9,23.2,15.1,62.8,0.1,100,4.17,rain,0,0,42.5,13,343.6,1018.2,60.3,9.6,188.8,16.2,8,21.8,21.6,21.6,21.6,37.1,117.9,160.1,392.6,0.371,0.393,0.4,0.393
GASABO,Plateau du Bumbogo Buliza,26,18.9,20.6,26,18.9,20.6,17.3,82.6,0.7,100,4.17,rain,0,0,26.6,100.1,328.4,1018.7,76.3,8.7,190.7,16.5,7,21.8,21.7,21.6,21.6,37.3,117.2,159.8,392,0.373,0.391,0.4,0.392
Huye,DorGran PlatSud,24.6,14.3,19.6,24.6,14.3,19.6,15.7,80.2,2.3,100,70.83,rain,0,0,27.4,10.4,283.2,1014.3,78.2,,227.2,19.6,9,20.8,20.5,20.3,20.3,35.5,117.8,169,403,0.355,0.393,0.422,0.403
Huye,DorGran PlatSud,22.1,16.3,18.4,22.1,16.3,18.4,15.9,86.4,5.2,100,95.83,rain,0,0,25.9,11.9,322.1,1014.2,97.6,,126.8,11.2,6,21.2,20.7,20.3,20.3,35.5,117.4,168.2,403,0.355,0.391,0.42,0.403
Huye,DorGran PlatSud,23.5,15.5,18.8,23.5,15.5,18.8,15.3,81.2,2.1,100,87.5,rain,0,0,19.8,13,28.7,1014.5,83.6,,206.2,17.8,7,21.3,20.8,20.3,20.3,35.2,117.3,167.6,403,0.352,0.391,0.419,0.403
Tanga,Kabuku,31,18,23.6,30.1,18,23.5,14.3,58.8,0,0,0,,0,0,31.3,16.6,6.4,1017.6,54.6,10,227.1,19.5,9,21.4,21.1,20.4,20.4,31.9,108.9,153.2,403,0.319,0.363,0.383,0.403
Huye,DorGran PlatSud,25.2,14.4,19.5,25.2,14.4,19.5,14.8,75.9,0.5,100,20.83,rain,0,0,26.3,10.8,44,1013.9,88.6,,277.5,24,9,21.4,21,20.3,20.3,34.7,116.8,167.3,403,0.347,0.389,0.418,0.403
